id,datetime,user_location,text,from,by,hashtags,mentions
1437780263036129288,2021-09-14 14:08:22,Earth,"RT @IainLJBrown: Artificial Intelligence Has Come in Waves - Drug Topics

Read more here: https://t.co/awDMNP9hV9

#ArtificialIntelligence…",IainLJBrown,_100DaysOfCode,ArtificialIntelligence,IainLJBrown
1437780267821895685,2021-09-14 14:08:23,Jammu And Kashmir,"RT @IainLJBrown: Artificial Intelligence Has Come in Waves - Drug Topics

Read more here: https://t.co/awDMNP9hV9

#ArtificialIntelligence…",IainLJBrown,Bills_Bot,ArtificialIntelligence,IainLJBrown
1437780287262543880,2021-09-14 14:08:27,Germany ,"RT @IainLJBrown: Artificial Intelligence Has Come in Waves - Drug Topics

Read more here: https://t.co/awDMNP9hV9

#ArtificialIntelligence…",IainLJBrown,hubofml,ArtificialIntelligence,IainLJBrown
1437780287719620608,2021-09-14 14:08:27,"England, United Kingdom","RT @NikseamC: Business Solution  @NikseamC
#FrontEndDeveloper #DEVCommunity
#cybersecurity #ArtificialIntelligence #AI #DataScience #Machin…",NikseamC,CarrieH3nry,FrontEndDeveloper DEVCommunity cybersecurity ArtificialIntelligence AI DataScience,NikseamC NikseamC
1437780311241379849,2021-09-14 14:08:33,,"RT @NikseamC: Business Solution  @NikseamC
#FrontEndDeveloper #DEVCommunity
#cybersecurity #ArtificialIntelligence #AI #DataScience #Machin…",NikseamC,iPythonistaBot,FrontEndDeveloper DEVCommunity cybersecurity ArtificialIntelligence AI DataScience,NikseamC NikseamC
1437780313917251585,2021-09-14 14:08:34,India,"RT @FrontyMe: https://t.co/Ivzl3P3ucw
#100DaysOfCode #fronty #DeepLearning #Linux #Serverless #IoT #programming #blockchain #ArtificialInte…",FrontyMe,IoT_Technojeder,100DaysOfCode fronty DeepLearning Linux Serverless IoT programming blockchain,FrontyMe
1437780320481419264,2021-09-14 14:08:35,"World | Baden-Baden, EU","RT @Eli_Krumova: How Will #ArtificialIntelligence Change #Society?
#Infographic

v @ingliguori
#AI #MachineLearning #ML #DigitalTransformat…",Eli_Krumova,NomoiInstitute,ArtificialIntelligence Society Infographic AI MachineLearning ML,Eli_Krumova ingliguori
1437780337149546501,2021-09-14 14:08:39,Earth,"RT @Eli_Krumova: How Will #ArtificialIntelligence Change #Society?
#Infographic

v @ingliguori
#AI #MachineLearning #ML #DigitalTransformat…",Eli_Krumova,SATYAJIT1910,ArtificialIntelligence Society Infographic AI MachineLearning ML,Eli_Krumova ingliguori
1437780354576883720,2021-09-14 14:08:43,,"RT @NikseamC: Business Solution  @NikseamC
#FrontEndDeveloper #DEVCommunity
#cybersecurity #ArtificialIntelligence #AI #DataScience #Machin…",NikseamC,Hugone21,FrontEndDeveloper DEVCommunity cybersecurity ArtificialIntelligence AI DataScience,NikseamC NikseamC
1437780382087356420,2021-09-14 14:08:50,,"RT @FrontyMe: https://t.co/Ivzl3P3ucw
#100DaysOfCode #fronty #DeepLearning #Linux #Serverless #IoT #programming #blockchain #ArtificialInte…",FrontyMe,AzuerBot,100DaysOfCode fronty DeepLearning Linux Serverless IoT programming blockchain,FrontyMe
1437780383303675914,2021-09-14 14:08:50,,RT @jackiemorelli: #womenintech #django #nocode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #bot #co…,jackiemorelli,botfordev,womenintech django nocode javascript github nodejs cybersecurity devops 100DaysOfCode datascience ai bot,jackiemorelli
1437780403440467980,2021-09-14 14:08:55,,"RT @IainLJBrown: Artificial Intelligence Has Come in Waves - Drug Topics

Read more here: https://t.co/awDMNP9hV9

#ArtificialIntelligence…",IainLJBrown,DeveloperBot_v1,ArtificialIntelligence,IainLJBrown
1437780403545387012,2021-09-14 14:08:55,,RT @jackiemorelli: #womenintech #django #nocode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #bot #co…,jackiemorelli,DeveloperBot_v1,womenintech django nocode javascript github nodejs cybersecurity devops 100DaysOfCode datascience ai bot,jackiemorelli
1437780403440525320,2021-09-14 14:08:55,,RT @ntdmagic: #Rakeshjhunjhunwalla buys #Zee which was spotted as #Arjun520helicopter buy on our #systemtrading #DataScience  this contains…,ntdmagic,DeveloperBot_v1,Rakeshjhunjhunwalla Zee Arjun520helicopter systemtrading DataScience,ntdmagic
1437780418871414803,2021-09-14 14:08:59,Turkey,"RT @RajGaurav_: Best Languages for Data Science and Statistics!!

#DataScience #dataanalytics #retweet #artificialintelligence #AR #VR #AI…",RajGaurav_,whopcod,DataScience dataanalytics retweet artificialintelligence AR VR AI,RajGaurav_
1437780441424093193,2021-09-14 14:09:04,,"RT @RajGaurav_: Best Languages for Data Science and Statistics!!

#DataScience #dataanalytics #retweet #artificialintelligence #AR #VR #AI…",RajGaurav_,iPythonistaBot,DataScience dataanalytics retweet artificialintelligence AR VR AI,RajGaurav_
1437780448797765680,2021-09-14 14:09:06,,"RT @E_ssayPro: We ensure #A+ in your 🌵 🔍 
 #ESSAYS 
 #HW 
 #DataScience   
 #MATHS
 #ACCOUNTS
 #FINANCE
 #STATS
 #WRITING 
 #RESEARCH
 #NUR…",E_ssayPro,iPythonistaBot,A ESSAYS HW DataScience MATHS ACCOUNTS FINANCE STATS WRITING RESEARCH,E_ssayPro
1437780448894230540,2021-09-14 14:09:06,Germany ,"RT @RajGaurav_: Best Languages for Data Science and Statistics!!

#DataScience #dataanalytics #retweet #artificialintelligence #AR #VR #AI…",RajGaurav_,hubofml,DataScience dataanalytics retweet artificialintelligence AR VR AI,RajGaurav_
1437780451440091141,2021-09-14 14:09:06,Kingdom of Saudi Arabia,"RT @Khulood_Almani: ⚡️☁️Who Leads the #Cloud #market in 2021❓

#technology #DigitalTransformation #IoT #BigData #TechnoSupport #ArtificialI…",Khulood_Almani,Khulood_Almani,Cloud market technology DigitalTransformation IoT BigData TechnoSupport,Khulood_Almani
1437780452538994701,2021-09-14 14:09:07,India,RT @ntdmagic: #Rakeshjhunjhunwalla buys #Zee which was spotted as #Arjun520helicopter buy on our #systemtrading #DataScience  this contains…,ntdmagic,ntdmagic,Rakeshjhunjhunwalla Zee Arjun520helicopter systemtrading DataScience,ntdmagic
1437780466271203344,2021-09-14 14:09:10,Milan,"RT @couponed_code: AWS Certified Security Specialty and Machine Learning Test 

 https://t.co/2GrSnTPOW2

#BigData #AWS #Security #CyberSec…",couponed_code,ilceruttino,BigData AWS Security,couponed_code
1437780465956573187,2021-09-14 14:09:10,,"RT @E_ssayPro: We ensure #A+ in your 🌵 🔍 
 #ESSAYS 
 #HW 
 #DataScience   
 #MATHS
 #ACCOUNTS
 #FINANCE
 #STATS
 #WRITING 
 #RESEARCH
 #NUR…",E_ssayPro,AzuerBot,A ESSAYS HW DataScience MATHS ACCOUNTS FINANCE STATS WRITING RESEARCH,E_ssayPro
1437780471174373397,2021-09-14 14:09:11,,"RT @Eli_Krumova: How Will #ArtificialIntelligence Change #Society?
#Infographic

v @ingliguori
#AI #MachineLearning #ML #DigitalTransformat…",Eli_Krumova,datasciencebot_,ArtificialIntelligence Society Infographic AI MachineLearning ML,Eli_Krumova ingliguori
1437780474248712202,2021-09-14 14:09:12,,"RT @Khulood_Almani: ⚡️☁️Who Leads the #Cloud #market in 2021❓

#technology #DigitalTransformation #IoT #BigData #TechnoSupport #ArtificialI…",Khulood_Almani,iPythonistaBot,Cloud market technology DigitalTransformation IoT BigData TechnoSupport,Khulood_Almani
1437780475758645250,2021-09-14 14:09:12,"Hyderabad, India",RT @jackiemorelli: #womenintech #django #nocode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #bot #co…,jackiemorelli,sectest9,womenintech django nocode javascript github nodejs cybersecurity devops 100DaysOfCode datascience ai bot,jackiemorelli
1437780477306408962,2021-09-14 14:09:13,Switzerland,RT @genericgranola: Grammarly SDK beta lets developers embed automated text editing in any web app https://t.co/ogwy9mNTjH #AI #MachineLear…,genericgranola,TheCuriousLuke,AI,genericgranola
1437780483018997764,2021-09-14 14:09:14,Internet,RT @IMantovani65: #hclswlobp #nocode #lowcode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #bot #code…,IMantovani65,cybersec_feeds,hclswlobp nocode lowcode javascript github nodejs cybersecurity devops 100DaysOfCode datascience ai bot,IMantovani65
1437780484587757570,2021-09-14 14:09:14,Earth ,"RT @FrontyMe: https://t.co/Ivzl3P3ucw
#100DaysOfCode #fronty #DeepLearning #Linux #Serverless #IoT #programming #blockchain #ArtificialInte…",FrontyMe,100DaysOf2020,100DaysOfCode fronty DeepLearning Linux Serverless IoT programming blockchain,FrontyMe
1437780488186388481,2021-09-14 14:09:15,,"RT @couponed_code: AWS Certified Security Specialty and Machine Learning Test 

 https://t.co/2GrSnTPOW2

#BigData #AWS #Security #CyberSec…",couponed_code,100DaysOfMLCode,BigData AWS Security,couponed_code
1437780533589815305,2021-09-14 14:09:26,"M, Venezuela","RT @RajGaurav_: Best Languages for Data Science and Statistics!!

#DataScience #dataanalytics #retweet #artificialintelligence #AR #VR #AI…",RajGaurav_,steffanoferrari,DataScience dataanalytics retweet artificialintelligence AR VR AI,RajGaurav_
1437780549939175427,2021-09-14 14:09:30,,"RT @couponed_code: AWS Certified Security Specialty and Machine Learning Test 

 https://t.co/2GrSnTPOW2

#BigData #AWS #Security #CyberSec…",couponed_code,AzuerBot,BigData AWS Security,couponed_code
1437780553013542918,2021-09-14 14:09:31,,RT @IMantovani65: #hclswlobp #nocode #lowcode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #bot #code…,IMantovani65,AzuerBot,hclswlobp nocode lowcode javascript github nodejs cybersecurity devops 100DaysOfCode datascience ai bot,IMantovani65
1437780569522417664,2021-09-14 14:09:35,,"RT @FrontyMe: https://t.co/Ivzl3P3ucw
#100DaysOfCode #fronty #DeepLearning #Linux #Serverless #IoT #programming #blockchain #ArtificialInte…",FrontyMe,marketingfronty,100DaysOfCode fronty DeepLearning Linux Serverless IoT programming blockchain,FrontyMe
